opratDate,areaSdNm,areaSggNm,areaEmdNm,netInflow,floatingPop,numClosures,time,treatment
2023-02-03,부산광역시,부산진구,전포동,-58.0,3430.0,0,0,0
2023-02-03,부산광역시,사상구,괘법동,136.0,1514.0,0,0,0
2023-02-03,부산광역시,사하구,하단동,-89.0,1797.0,0,0,0
2023-02-03,부산광역시,연제구,연산동,-555.0,5225.0,1,0,0
2023-02-03,부산광역시,해운대구,좌동,152.0,2978.0,1,0,0
2023-02-03,부산광역시,해운대구,중동,-1.0,2229.0,0,0,0
2023-02-04,부산광역시,남구,대연동,-328.0,2510.0,0,0,0
2023-02-04,부산광역시,부산진구,부전동,747.0,6231.0,0,0,0
2023-02-04,부산광역시,부산진구,전포동,-89.0,1919.0,0,0,0
2023-02-04,부산광역시,사상구,괘법동,68.0,1326.0,0,0,0
2023-02-04,부산광역시,사하구,하단동,-130.0,1532.0,0,0,0
2023-02-04,부산광역시,연제구,연산동,-470.0,4304.0,0,0,0
2023-02-04,부산광역시,해운대구,좌동,161.0,2477.0,0,0,0
2023-02-04,부산광역시,해운대구,중동,41.0,1817.0,0,0,0
2023-02-05,부산광역시,남구,대연동,-112.0,1754.0,0,0,0
2023-02-05,부산광역시,부산진구,부전동,397.0,4171.0,0,0,0
2023-02-05,부산광역시,부산진구,전포동,-50.0,1494.0,0,0,0
2023-02-05,부산광역시,사상구,괘법동,88.0,1006.0,0,0,0
2023-02-05,부산광역시,사하구,하단동,-150.0,1264.0,0,0,0
2023-02-05,부산광역시,연제구,연산동,-284.0,3104.0,0,0,0
2023-02-05,부산광역시,해운대구,좌동,43.0,2027.0,0,0,0
2023-02-05,부산광역시,해운대구,중동,68.0,1678.0,0,0,0
2023-02-06,부산광역시,남구,대연동,-257.0,3065.0,0,0,0
2023-02-06,부산광역시,부산진구,부전동,491.0,6203.0,0,0,0
2023-02-06,부산광역시,부산진구,전포동,3.0,3215.0,0,0,0
2023-02-06,부산광역시,사상구,괘법동,96.0,1236.0,0,0,0
2023-02-06,부산광역시,사하구,하단동,-53.0,1549.0,0,0,0
2023-02-06,부산광역시,연제구,연산동,-404.0,4798.0,1,0,0
2023-02-06,부산광역시,해운대구,좌동,153.0,2747.0,1,0,0
2023-02-06,부산광역시,해운대구,중동,-29.0,2037.0,0,0,0
2023-02-07,부산광역시,남구,대연동,-212.0,3132.0,0,0,0
2023-02-07,부산광역시,부산진구,부전동,490.0,6250.0,1,0,0
2023-02-07,부산광역시,부산진구,전포동,-14.0,3490.0,0,0,0
2023-02-07,부산광역시,사상구,괘법동,54.0,1300.0,0,0,0
2023-02-07,부산광역시,사하구,하단동,-66.0,1636.0,0,0,0
2023-02-07,부산광역시,연제구,연산동,-382.0,4866.0,1,0,0
2023-02-07,부산광역시,해운대구,좌동,73.0,2951.0,1,0,0
2023-02-07,부산광역시,해운대구,중동,57.0,2153.0,0,0,0
2023-02-08,부산광역시,남구,대연동,-220.0,3332.0,0,0,0
2023-02-08,부산광역시,부산진구,부전동,543.0,6605.0,0,0,0
2023-02-08,부산광역시,부산진구,전포동,-71.0,3399.0,0,0,0
2023-02-08,부산광역시,사상구,괘법동,139.0,1411.0,0,0,0
2023-02-08,부산광역시,사하구,하단동,-116.0,1792.0,1,0,0
2023-02-08,부산광역시,연제구,연산동,-398.0,5078.0,1,0,0
2023-02-08,부산광역시,해운대구,좌동,128.0,2806.0,0,0,0
2023-02-08,부산광역시,해운대구,중동,-5.0,2095.0,0,0,0
2023-02-09,부산광역시,남구,대연동,-181.0,3217.0,0,0,0
2023-02-09,부산광역시,부산진구,부전동,575.0,6467.0,0,0,0
2023-02-09,부산광역시,부산진구,전포동,-59.0,3405.0,0,0,0
2023-02-09,부산광역시,사상구,괘법동,88.0,1366.0,0,0,0
2023-02-09,부산광역시,사하구,하단동,-68.0,1664.0,0,0,0
2023-02-09,부산광역시,연제구,연산동,-446.0,4788.0,1,0,0
2023-02-09,부산광역시,해운대구,좌동,100.0,2872.0,1,0,0
2023-02-09,부산광역시,해운대구,중동,-9.0,2101.0,1,0,0
